checked_at,origin,dest,option,hub,price_rub,price_eur,eur_rate,depart_month,detail,link1,link2
2026-07-06 21:15,LED,TSF,Через Белград,BEG,30065,337,89.2595,2026-09,Белград: 24 376 ₽ + 5 689 ₽,,
2026-07-07 11:22,MOW,VCE,Любой маршрут (мин.),,17228,193,89.2595,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-07 11:22,MOW,VCE,Через Ереван,EVN,15863,178,89.2595,2026-09,Ереван: 9 393 ₽ + 6 470 ₽,,
2026-07-07 11:22,MOW,VCE,Через Турцию,IST,15330,172,89.2595,2026-09,Стамбул IST: 9 205 ₽ + 6 125 ₽,,
2026-07-07 11:22,MOW,VCE,Через Белград,BEG,26809,300,89.2595,2026-09,Белград: 21 120 ₽ + 5 689 ₽,,
2026-07-07 11:22,MOW,TSF,Любой маршрут (мин.),,17228,193,89.2595,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-07 11:22,MOW,TSF,Через Ереван,EVN,15863,178,89.2595,2026-09,Ереван: 9 393 ₽ + 6 470 ₽,,
2026-07-07 11:22,MOW,TSF,Через Турцию,IST,15813,177,89.2595,2026-09,Стамбул IST: 9 205 ₽ + 6 608 ₽,,
2026-07-07 11:22,MOW,TSF,Через Белград,BEG,26809,300,89.2595,2026-09,Белград: 21 120 ₽ + 5 689 ₽,,
2026-07-07 11:22,LED,VCE,Любой маршрут (мин.),,23745,266,89.2595,2026-09,вылет 2026-09-23 · 2 перес. · 42 ч 25 мин · a/к PC,,
2026-07-07 11:22,LED,VCE,Через Ереван,EVN,18971,213,89.2595,2026-09,Ереван: 12 501 ₽ + 6 470 ₽,,
2026-07-07 11:22,LED,VCE,Через Турцию,IST,20435,229,89.2595,2026-09,Стамбул IST: 14 310 ₽ + 6 125 ₽,,
2026-07-07 11:22,LED,VCE,Через Белград,BEG,26880,301,89.2595,2026-09,Белград: 21 191 ₽ + 5 689 ₽,,
2026-07-07 11:22,LED,TSF,Любой маршрут (мин.),,23745,266,89.2595,2026-09,вылет 2026-09-23 · 2 перес. · 42 ч 25 мин · a/к PC,,
2026-07-07 11:22,LED,TSF,Через Ереван,EVN,18971,213,89.2595,2026-09,Ереван: 12 501 ₽ + 6 470 ₽,,
2026-07-07 11:22,LED,TSF,Через Турцию,IST,20918,234,89.2595,2026-09,Стамбул IST: 14 310 ₽ + 6 608 ₽,,
2026-07-07 11:22,LED,TSF,Через Белград,BEG,26880,301,89.2595,2026-09,Белград: 21 191 ₽ + 5 689 ₽,,
2026-07-07 21:10,MOW,VCE,Любой маршрут (мин.),,17153,197,86.8976,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-07 21:10,MOW,VCE,Через Ереван,EVN,15870,183,86.8976,2026-09,Ереван: 9 400 ₽ + 6 470 ₽,,
2026-07-07 21:10,MOW,VCE,Через Турцию,IST,10514,121,86.8976,2026-09,Стамбул IST: 4 389 ₽ + 6 125 ₽,,
2026-07-07 21:10,MOW,VCE,Через Белград,BEG,22695,261,86.8976,2026-09,Белград: 17 006 ₽ + 5 689 ₽,,
2026-07-07 21:10,MOW,TSF,Любой маршрут (мин.),,17153,197,86.8976,2026-09,вылет 2026-09-23 · 2 перес. · 43 ч 50 мин · a/к UT,,
2026-07-07 21:10,MOW,TSF,Через Ереван,EVN,15870,183,86.8976,2026-09,Ереван: 9 400 ₽ + 6 470 ₽,,
2026-07-07 21:10,MOW,TSF,Через Турцию,IST,10972,126,86.8976,2026-09,Стамбул IST: 4 389 ₽ + 6 583 ₽,,
2026-07-07 21:10,MOW,TSF,Через Белград,BEG,22695,261,86.8976,2026-09,Белград: 17 006 ₽ + 5 689 ₽,,
2026-07-07 21:10,LED,VCE,Любой маршрут (мин.),,19039,219,86.8976,2026-09,вылет 2026-09-27 · 2 перес. · 20 ч 5 мин · a/к VF,,
2026-07-07 21:10,LED,VCE,Через Ереван,EVN,18274,210,86.8976,2026-09,Ереван: 11 804 ₽ + 6 470 ₽,,
